player_name,player_id,game_date,team,opponent,home_or_road,minutes_played,points,rebounds,assists,steals,blocks,turnovers,fgm,fga,fg_pct,three_pm,three_pa,fg3_pct,ftm,fta,ft_pct,age,position,role,opponent_def_rank_vs_position,plus_minus,wl
Trae Young,1629027,2024-04-14,ATL,IND,ROAD,32,12,3,12,0,0,8,4,9,0.444,1,4,0.25,3,3,1.0,25,G,Starter,30,-35,L
De'Andre Hunter,1629631,2024-04-14,ATL,IND,ROAD,27,6,2,1,0,0,1,0,6,0.0,0,2,0.0,6,6,1.0,26,F-G,Starter,18,-29,L
Vít Krejčí,1630249,2024-04-14,ATL,IND,ROAD,22,0,5,5,0,0,1,0,2,0.0,0,2,0.0,0,0,nan,23,G,Starter,30,-9,L
Oshae Brissett,1629052,2024-04-14,BOS,WAS,HOME,16,4,2,1,1,3,3,2,6,0.333,0,1,0.0,0,3,0.0,25,F-G,Rotation,11,-13,W
Jaden Springer,1630531,2024-04-14,BOS,WAS,HOME,20,7,2,0,3,1,1,2,4,0.5,1,2,0.5,2,2,1.0,21,G,Starter,21,-9,W
Marcus Morris Sr.,202694,2024-04-14,CLE,CHA,HOME,19,7,3,0,0,0,1,3,9,0.333,1,4,0.25,0,0,nan,34,F,Rotation,22,3,L
Emoni Bates,1641734,2024-04-14,CLE,CHA,HOME,29,7,3,3,0,0,6,3,12,0.25,1,5,0.2,0,0,nan,20,F,Starter,22,-22,L
Jonas Valančiūnas,202685,2024-04-14,NOP,LAL,HOME,7,2,3,1,0,0,4,1,3,0.333,0,1,0.0,0,0,nan,31,C,Bench,10,-10,L
Matt Ryan,1630346,2024-04-14,NOP,LAL,HOME,2,0,0,0,0,0,0,0,0,nan,0,0,nan,0,0,nan,27,F,Bench,15,5,L
Herbert Jones,1630529,2024-04-14,NOP,LAL,HOME,32,18,5,1,2,0,1,6,13,0.462,4,7,0.571,2,2,1.0,25,F,Starter,15,-20,L
Alex Caruso,1627936,2024-04-14,CHI,NYK,ROAD,41,15,5,8,5,0,3,5,8,0.625,3,5,0.6,2,2,1.0,30,G,Starter,1,-8,L
Zeke Nnaji,1630192,2024-04-14,DEN,MEM,ROAD,17,6,4,0,1,0,0,3,5,0.6,0,0,nan,0,0,nan,23,F-C,Rotation,12,-4,W
Julian Strawther,1631124,2024-04-14,DEN,MEM,ROAD,1,0,0,0,0,0,1,0,0,nan,0,0,nan,0,0,nan,22,G,Bench,7,-3,W
Peyton Watson,1631212,2024-04-14,DEN,MEM,ROAD,21,11,2,1,1,0,1,5,7,0.714,1,1,1.0,0,0,nan,21,G,Starter,7,-7,W
Chris Paul,101108,2024-04-14,GSW,UTA,HOME,23,6,4,6,0,0,1,3,10,0.3,0,3,0.0,0,0,nan,38,G,Starter,10,-11,W
Andrew Wiggins,203952,2024-04-14,GSW,UTA,HOME,20,19,4,3,2,0,1,6,11,0.545,2,5,0.4,5,6,0.833,29,F,Starter,25,-12,W
Jerome Robinson,1629010,2024-04-14,GSW,UTA,HOME,5,5,0,0,1,0,0,2,2,1.0,0,0,nan,1,1,1.0,27,G,Bench,10,7,W
Reggie Bullock Jr.,203493,2024-04-14,HOU,LAC,ROAD,6,0,3,0,0,0,1,0,1,0.0,0,1,0.0,0,0,nan,33,G-F,Bench,17,-1,W
Nate Hinton,1630207,2024-04-14,HOU,LAC,ROAD,14,2,5,4,0,0,0,1,3,0.333,0,2,0.0,0,0,nan,24,G-F,Rotation,17,-2,W
Jabari Smith Jr.,1631095,2024-04-14,HOU,LAC,ROAD,33,15,8,3,0,0,0,6,19,0.316,2,10,0.2,1,2,0.5,20,F,Starter,5,8,W
Nate Williams,1631466,2024-04-14,HOU,LAC,ROAD,21,13,3,0,1,1,2,6,9,0.667,1,1,1.0,0,3,0.0,25,G,Starter,14,10,W
Anthony Davis,203076,2024-04-14,LAL,NOP,ROAD,33,30,11,3,2,0,3,13,17,0.765,0,1,0.0,4,4,1.0,31,F-C,Starter,6,15,W
Rui Hachimura,1629060,2024-04-14,LAL,NOP,ROAD,34,11,7,4,2,0,1,5,10,0.5,1,4,0.25,0,0,nan,26,F,Starter,4,10,W
Austin Reaves,1630559,2024-04-14,LAL,NOP,ROAD,29,20,1,2,1,1,2,8,12,0.667,3,7,0.429,1,2,0.5,25,G,Starter,4,13,W
